Src Packet Count,Dst Packet Count,Src Byte Count,Dst Byte Count,Src Port Count,Dst Port Count,Src Length StdDev,Dst Length StdDev,Length,Protocol,Anomaly
-1.0765870667869943,-1.0231937641123474,-1.0141293037727204,-0.962710599271034,-0.9245733624826172,-0.8062886351107124,-2.0678668790284873,-1.7959263467447366,-0.4437433348925123,-0.3959953779169899,1
-1.0690191468292631,-1.0231937641123474,-0.98902146799227,-0.962710599271034,-0.8308982497690796,-0.8062886351107124,2.4311532769322164,-1.7959263467447366,2.283391687594269,2.5252820001591645,-1
-1.0614512268715317,-1.0231937641123474,-0.9639136322118198,-0.962710599271034,-0.8308982497690796,-0.8062886351107124,1.605567695838352,-1.7959263467447366,2.283391687594269,2.5252820001591645,-1
-1.0538833069138005,-1.0231937641123474,-0.9618731347219224,-0.962710599271034,-0.8308982497690796,-0.8062886351107124,1.6776074328342627,-1.7959263467447366,-0.5487249105612948,-0.3959953779169899,1
-1.0463153869560693,-1.0231937641123474,-0.9375814979374312,-0.962710599271034,-0.8308982497690796,-0.8062886351107124,1.4438161703792174,-1.7959263467447366,2.183182001728613,-0.3959953779169899,1
-1.038747466998338,-1.0231937641123474,-0.935055167711844,-0.962710599271034,-0.7372231370555419,-0.8062886351107124,1.4403011954922145,-1.7959263467447366,-0.4890762880222138,-0.3959953779169899,1
-1.0311795470406069,-1.0231937641123474,-0.9267571445862618,-0.962710599271034,-0.7372231370555419,-0.8062886351107124,1.1868590185644736,-1.7959263467447366,0.2195493477420679,-0.3959953779169899,1
-1.0236116270828752,-1.0231937641123474,-0.9242502476701022,-0.962710599271034,-0.7372231370555419,-0.8062886351107124,1.1238076388176492,-1.7959263467447366,-0.491462232923777,-0.3959953779169899,1
-1.016043707125144,-1.0231937641123474,-0.9122793290627048,-0.962710599271034,-0.7372231370555419,-0.8062886351107124,0.9178849154270844,-1.7959263467447366,0.67049293413752,-0.3959953779169899,1
-1.0765870667869943,-0.9525306088665828,-1.0157422684552109,-0.8532338853367607,-0.9245733624826172,-0.6152249775015388,-2.0678668790284873,0.9610256761065004,-0.6417767617222611,-0.3959953779169899,1
